zip,totkbtu,avgkbtu
95409,814324988.3,62161.20451
95410,15035933.08,36340.62377
95412,4267367.636,39881.94053
95415,14722217.37,24274.05997
95417,0,0
95419,7015840.897,26966.71709
95420,3988926.643,29063.2178
95421,21318856.2,23045.33595
95422,239553166.9,30911.74798
95423,72711595.13,28655.75689
95425,250530495.5,52911.41841
95426,29057750.38,25017.43468
95427,3201349.759,34423.11569
95428,31292686.09,37957.36713
95429,0,0
95432,2591252.011,18184.22464
95435,5019376.355,33499.73096
95436,120838240.2,44782.54733
95437,166568225.1,25706.62596
95439,16901721.52,63758.02655
95441,41594779.61,49342.595
95442,91627122.48,50870.04357
95443,5043919.89,28740.28427
95444,19105724.45,61701.86192
95445,30837277.78,24241.55476
95446,83852803.98,26745.17311
95448,335300547.3,110763.3638
95449,26508690.63,46325.97956
95450,7056762.712,21054.48845
95451,179027462.4,32373.37516
95452,45097140,58063.11814
95453,161242052.9,31046.39755
95454,29985958.68,36066.10245
95456,10703093.27,33648.70822
95457,46163761.55,33661.36833
95458,49181476.67,29695.97062
95459,8187198.411,21621.12256
95460,36929677.14,28287.76495
95461,33170790.26,30837.42509
95462,26856908.79,26761.01515
95463,361362.8597,42934.20115
95464,41028631.7,29170.72997
95465,26658250.49,41556.11924
95466,10752446.49,27388.95306
95467,83469453.28,32558.62175
95468,12564293.7,25403.79518
95469,20843254.83,33110.8099
95470,120230221.3,53480.81548
95471,11978725.84,24479.68495
95472,358401594.6,64222.53102
95476,984787403.5,61929.3525
95480,0,0
95482,560675443.1,97300.35254
95485,37397249.73,32206.61668
95486,2435965.445,15540.44941
95488,4710151.02,27278.86691
95490,250106303.1,47624.25262
95492,640824315.4,62416.53424
95493,0,0
95494,1846709.058,23229.04476
95497,33699163.8,17442.63137
95501,650183879.7,58625.14492
95503,722923277.9,68357.09526
95511,9087672.824,54093.29062
95514,0,0
95518,15993717.83,42517.63712
95519,481670241.4,64555.33817
95521,460450724.1,52241.57639
95524,55300985.26,72957.64806
95525,43744915.32,53895.17287
95526,13259677.93,25268.56203
95527,12191609.35,31381.23385
95528,35407328.97,71553.44728
95536,33100329.54,26233.66716
95537,11360640.12,62679.39377
95540,364910367,60645.2607
95542,45392999.7,51563.4226
95546,223481723.9,230097.0131
95547,33424210.86,60763.0066
95549,19656440.32,56416.47544
95550,0,0
95551,36554807.04,52395.17976
95552,6247095.624,31015.78299
95553,18556120.18,56544.80502
95554,12149264.67,48275.22387
95555,5631610.104,32458.84786
95556,8220094.868,29445.11595
95558,6889475.644,41008.7836
95560,31337606.93,47813.25914
